〆切	termination、conclusion、ending、deadline
ワンピース	one piece
ワンポイント	one point
ワンマン	dictatorial leader
ン	some (at the start of a number in place of a digit)
ヴァイス	Vice; Harvester
ヴァン	van、caravan、van
ヴェルディ	Verdi、Giuseppe Verdi
ヶ月	months (period of)
阿蘇	Aso
哀しい	sad
哀悼	grief
愛	love; amor; affection
愛さ	love、like、like、care、wish
愛してる	I love you
愛する	love、like、like、care、wish、love、enjoy
愛する人	Mother and Child (2009 film)
愛のムチ	Lashings of Love
愛のメッセージ	Message of love、A love note；A love message
愛顧	patronage
愛護	protection
愛国心	patriotism
愛称	nickname
愛情	love; affection
愛憎	love and hatred
愛知	Aichi‐ken; Aichi prefecture; Aichi
愛知大学	Aichi Univ.
愛着	attachment
愛用	habitual use
挨拶	greeting; address; answer; notice
逢い	come across、come over、run into、meet、run across、come across、see、encounter、meet、get together
茜	madder; Rubiaceae
悪	badness; vice; maleficence; evil
悪い	bad、sorry、deplorable、pitiful、sad、lamentable、distressing、evil、ill、bad
悪いこと	badness、bad
悪意	malice; mala fides
悪化	aggravation; worsening; deterioration
悪口	abuse; calumny; slander
悪質	venomous、vicious、poisonous、inferior、wicked
悪循環	circulus vitiosus; vicious circle
悪戦苦闘	desperate struggle; tough fight
悪役	villain’s part
悪用	abuse
握っ	prehend、seize、clutch、grasp、hold on、clasp、grip
握手	handshaking; shaking hands; handshake
圧勝	overwhelming victory
圧倒	dominance
圧倒的	overwhelming、consuming、overwhelming、overpowering
圧力	pressure
圧力隔壁	pressure bulkhead
扱い	address、deal、plow、treat、cover、handle、deal、trade、sell、deal
扱い	manipulation、handling、service、serve、service、handling、handling、treatment、reception、response
綾	Aya
安	An (surname)
安く	slashed、cut、inexpensive、cheap、affordable、low-cost、low-priced、peaceable、peaceful
安っぽい	peanut、insignificant
安価	inexpensive、cheap、affordable、low-cost、low-priced、tinny、crummy、sleazy、chintzy、punk
安心	ease; security; relief
安全	safe、protected、safe、unafraid、secure、untroubled、secure、secure、secure、good
安全基準	safety standard
安全教育	safety education; safety education and training
安全性	safety
安全保障	national security; security
安打	hitting
安置	enshrinement
安定	stablization; stability
安哲秀	Ahn Cheol-soo
安堵	Ando
安藤サクラ	Sakura Ando
安倍晋三	Shinz? Abe
安倍内閣	Abe Cabinet (inaugurated as the Japanese government、2006-09-26)
安否	safety
安保	US-Japan Security Treaty; safety; security
安保条約	security treaty; Japan‐US Security Treaty
安保理	Security Council
暗い	dark、dismal、sorry、dingy、gloomy、disconsolate、dreary、drear、dark、blue
暗殺	assassination
暗闘	secret strife
案	design、plan
案じ	deliberate、moot、turn over、debate、consider、study、consider
案件	item
案内	guidance; guide; information; invitation
闇	black‐marketing; dark; darkness
闇雲	recklessly; blindly; at random
闇社会	underground world; underground society
杏露酒	apricot wine
以下	the following
以外	exclusive of; outside of; other than
以後	forward、forth、onward
以降	since
以上	the above
以前	previously、antecedently、erstwhile、at one time、erst、formerly、once
以内	inside of; less than
以来	henceforth、henceforward
伊集院	Ijuin
伊勢志摩サミット	42nd G7 summit
伊達	Date
伊藤計劃	Project Itoh
伊豆	Izu
伊豆大島	Izu Oshima Island
位	rank; place
位置	position; site; location; locus; situs; place
位置づけ	rate、order、range、place、grade、rank、value、measure、assess、valuate
位置情報	position information; positional information
位置付け	rate、order、range、place、grade、rank、value、measure、assess、valuate
位置付けよ	rate、order、range、place、grade、rank
依る	hinge on、depend upon、depend on、devolve on、turn on、hinge upon、ride、owe
依拠	dependence
依存	reliance; dependence
依頼	request; solicitation
偉	admirable、heavy、big、large、great、admirable、important、authoritative、eminent、high
偉業	great achievement; triumph
偉大	grand、distinguished、imposing、magisterial、outstanding、great
囲み	encirclement、blockade、beleaguering、besieging、military blockade、siege、enclosure
囲み取材	on-the-spot interview by surrounding reporters
委ね	entrust
委員	committeeman; committee; commissioner
委員会	panel; committee; commission
委員長	chairman; chairwoman; chairperson
委任	charge; mandate; trust; commission
委任契約	Contract of Mandate
威	intimidation、bullying
威嚇射撃	warning shot
威厳	dignity
威力	authority; might; power
意	meaning; mind; attention
意外	unexpected、out of the blue、unanticipated、unforeseen、unlooked-for、surprising
意気込み	energy、push、get-up-and-go、fire、ardour、fervor、fervidness、ardor、fervour、fervency
意気投合	understanding、sympathy、sympathy
意義	different meaning; significance; meaning
意見	opinion; suggestion; view
意見交換	exchange of views
意向	intension
意志	bulesis; intention; will; volition; animus
意思	intention; purpose; mind; intent
意思決定	decision‐making; decision making; decision
意思表示	gesture
意識	consciousness; awareness; conscience
意識改革	reform of sense
意識障害	consciousness disorder
意識調査	consciousness investigation; opinion poll; opinionaire; attitude survey
意識的	witting、conscious
意図	idea; bulesis; intention; aim; will; purpose; intent; design
意図的	deliberately、by design、advisedly、intentionally、designedly、by choice、on purpose、purposely
意地	pride; willpower; nature
意味	significance; meaning; sense
意味合い	implication
意訳	free translation
意欲	conation; desire; will; volition
慰め	jolly along、cheer up、jolly up、cheer、comfort、solace、console、soothe
為替	money order; exchange
為替レート	foreign exchange rate; exchange rate
為替介入	exchange intervention
異なり	vary、alter、change、differ、disagree、dissent、take issue、vary、differ
異議	objection; protest; claim
異彩	brilliance
異常	abnormity; aberrant …; anomaly; disorder; defect; abnormality; aberration; aberrant
異常気象	unusual weather; abnormal weather
異存	objection
異端	hereticalness
異端児	nonconformist; dissenter; maverick; enfant terrible
異動	change
異様	odd、unusual、strange、curious、funny、queer、odd、rummy、rum、peculiar
異例	anomalous、extraordinary、prodigious、olympian、surpassing、exceptional、exceeding
異論	objection
移し	infect、taint、infect、shift、move、displace、shift、transfer、remove、transfer
移っ	move、change、shift、switch、change over、shift、move、slip by、slip away、elapse
移り変わり	change、alteration、modification、transition、changeover、transition、conversion、change、change
移住	migration; dispersal
移植	transplanting; grafting; transplant; transfer; plasty; transplantation; implantation; graft; interplanting
移籍	transfer
移設	replaced inside; transfer; relocation
移送	transfer; transport
移転	transference; transfer; transposition; transversion
移動	migration; transfer; displacement; movement; ambulation; locomotion; metakinesis; shift
移民	immigrant; immigration; emigrant; emigration
維持	maintenance; retention
維持管理	maintenance; rehabilitation management
維新	Restoration
胃	ventriculus; gaster; ventriculi; maw; stomach
胃袋	stomach
衣料品	clothing
違い	difference、divergence、disagreement、discrepancy、variance、dissimilitude、unlikeness、gap、spread
違う	vary、differ
違憲	unconstitutionality
違反	breach; violation; contravention
違法	unlawfully、illicitly、illegitimately
違法コピー	illegal copy
違法行為	illegal act; injury
違和感	discomfort; physical disorder feeling
遺憾	pity; regret
遺憾の意	regret at
遺族	surviving family; survivors; bereaved family
遺体	remain
医	medicine
医学博士	Doctor of Medicine
医師	physician; doctor
医大	medical university
医薬品	agents; medicament; drug medicine; medicine; agent; drug
医療	medical
医療センター	medical center
医療従事者	medical worker; health professions
井原	Ibara
井戸	well
域	area; range; stage
域内	inside the area
育ち	breeding、bringing up、fostering、raising、upbringing、fosterage、nurture、rearing、breeding、training
育っ	grow、maturate、mature、grow、develop、build、build up、work up、progress、develop
育て	breed、multiply、grow、develop、educate、prepare、train、foster、nurture、nourish
育て	bringing up; raising
育て上げ	foster、nurture、erect、rear、parent、nurture、raise、rear、bring up
育休	childcare leave; leave taken after the compulsory maternity leave
育児	infant rearing; child rearing; childcare; nursing; puericulture
育児休業	child‐care leave
育成	upbringing; raising; growth; rearing
一つ	tentatively
一を聞いて十を知る	to understand everything from only one part; to be perceptive
一案	one proposal
一員	one member
一介	mere; only a ...
一概	perverse、contrary、wayward、obstinate
一括	lumping together; consolidation
一環	part
一貫	consistency
一喜一憂	now rejoicing、now worrying; swinging from joy to sorrow; glad and sad by turns; alternating hope and fear; unable to put one's mind at ease
一義的	unambiguous、unequivocal、definitive
一橋大学	Hitotsubashi Univ.
一群	one group
一件落着	an issue being settled; a case being closed
一見	glance
一元	unitary
一言	one word; word
一刻	moment
一昨年	year before last
一時	transient
一時期	one period
一時停止	halt
一時的	probationary、provisional、provisionary、tentative、fleeting、fugitive、momentary、momentaneous、temporary、impermanent
一種	a kind of、a sort of
一樹	one tree; a tree
一蹴	pooh-pooh、turn down、reject、scorn、freeze off、disdain、spurn、kick
一週間	a week
一瞬	snap; instant
一所懸命	very hard; with utmost effort; with all one's might; desperately; frantically; for dear life; all-out effort; sticking at living in and defending one place
一緒	in the same breath
一緒に	together、together、collectively、conjointly、jointly、together with、together
一助	aid
一色	Ishiki
一新	refurbishment
一人物	person to be reckoned with; person of importance
一世	generation
一生懸命	earnest、solemn、sincere
一斉	simultaneity
一切	whole、entirely、wholly、all、altogether、completely、totally、at all、in the least、the least bit
一線	line
一掃	cleaning up
一息	rest; breath
一体	one body; one‐piece
一大	one large ...; a great ...
一致	congruence; concordance; correspondence; consensus; agreement; coincidence; conformity
一長一短	merits and demerits; advantage and disadvantage
一直線	straight
一定	constant
一転	turn
一途	taken up、preoccupied、obsessed、haunted、earnest、solemn、sincere
一刀両断	Cleave
一同	everyone
一堂	one building (hall、temple、shrine、room)
一年	annual
一般	generally、in general、in the main、generally、mostly、more often than not、by and large、generally、broadly、broadly speaking
一般社団法人	general corporate judicial person
一般人	ordinary person
一般的	democratic、popular、general、general、rife、predominant、prevalent、dominant、prevailing、general
一般論	generality; general theory
一番	center piece
一部	part
一部の人	some people
一風	eccentric
一風堂	Ippudo
一服	break
一物	plot; ulterior motive; secret intention
一変	complete change; change
一歩	one step
一報	information、info
一方	normal
一方通行	one-way
一方的	unilaterally、one-sidedly
一幕	one act
一目瞭然	obvious
一夜	one night; all night; overnight; one evening
一役	role
一躍	jump、pass over、skip over、skip
一様	undifferentiated、uniform、uniform、consistent、uniform、unvarying、single
一覧	look; list; table
一律	undifferentiated、uniform、uniform、consistent、uniform、single
一流	first class
一連	single string
溢れる	flood、submerge、inundate、deluge、overflow、bubble over、spill over、run out、spill、spill over
逸れる	divagate、digress、wander、stray、miss、err、stray、drift、bend、turn away
逸脱	derailment; deviation; deviance; escape
稲垣	Inagaki
茨城	Ibaraki‐ken; Ibaraki prefecture; Ibaraki
印刷	printing
印刷会社	printer
印刷物	printed matter; printing; print; sheet
印象	impression
員	man
引い	play、draggle、bedraggle、refer、consult、look up、cast、draw、pull back、draw
引き	length
引き下げ	reduce、tighten、boil down、reduce、concentrate、scale down、reduce、lour、lower、reduce
引き起こし	induce、bring on、make、cause、do、call forth、evoke、provoke、kick up、give rise
引き金	initiation、induction、trigger、firing mechanism、gunlock、gun trigger、trigger
引き継い	take over; hand over
引き継ぎ	succession; business transfer
引き合い	deal、acknowledgment、reference、citation、quotation、credit、cite、mention、reference、point of reference
引き込ま	appeal、attract、intrigue、fascinate
引き取っ	withdraw、retire、bear、accept、take over、assume、take in
引き受け	guarantee、warrant、bear、accept、take over、assume
引き出し	get out、bring out、take out、pull up、pull、draw out、pull out、extract、pick off、pull off
引き出し	withdrawal、drawer
引き上げる	up、raise、advance、boost、supercharge、lift、raise、elevate、wind、hoist
引き続き	subsequent
引き分け	tie、draw、part、separate、disunite、divide、separate、divide
引け	loose material; close of the session; last quotation; sink mark; shrinkage; closing; close
引ける	close
引っかかる	catch on
引っ越し	move
引っ掛かり	connection; doubt
引っ込め	retract
引っ張っ	protract、draw out、extend、prolong、draw、pull、force、draw、stretch、tug
引責	assuming responsibility
引退	retirement
引用	citation; quotation
飲み	choke off、choke back、choke down、overwhelm、overmaster、overpower、drink、imbibe、booze、fuddle
飲み会	compotation
飲み込ま	agnise、recognize、agnize、recognise、realise、realize、get down、swallow、engulf、bury
飲め	be good to drink
飲酒	drinking; alcohol drinking; alcohol intake
飲食店	restaurant
陰	negative
陰口	backbiting
陰謀	intrigue
陰鬱	dismal、sorry、dingy、gloomy、disconsolate、dreary、drear、dark、blue、grim
隠し	obliterate、obscure、hide、blot out、veil、veil、hide、conceal、hold in、conceal
隠し	play a joke on、pull a fast one on、fob、play tricks、trick、play a trick on、flim-flam、fox
隠れ	decease、death、expiry、hiding
隠れる	go、exit、perish、snuff it、cash in one's chips、give-up the ghost、conk、pass、decease、die
隠語	secret language
右	right
右から左	right-to-left; right-to-left/
右より	S twist; left-hand lay
右肩	right shoulder
右手	right hand
右側	right side
右側に	on the right hand of
右足	right foot
右端	right hand edge; far right edge; right edge; rightmost edge
宇宙	space
宇宙航空研究開発機構	JAXA
宇都宮	Utsunomiya
羽	wing; feather
羽ばたい	flutter、palpitate、flap、beat、flap、beat
羽生結弦	Yuzuru Hanyu
羽田	Haneda
羽田空港	Haneda Airport
迂回	circumvention; detour; bypass; roundabout way
雨	rainfall; rain
雨天中止	rain out; rainout; rain-out
雨模様	threatening sky
卯月	Japanese destroyer Uzuki (1925)
鵜呑み	swallow、live with、accept、swallow
渦中	vortex; maelstrom; whirlpool; convulsions; upheaval
嘘	fabrication; lie
嘘つき	fibber
噂	whisper; rumour; rumor
云う	posit、state、submit、put forward、utter、express、give tongue to、verbalize、verbalise、speak
運	fortune
運び	bear、channel、channelise、channelize、transport、transmit、transfer、carry、transport、send
運び	transportation、conveyance、transport、transferral、transfer、operation、procedure、process、procedure、fleetness
運び込み	to carry in; to bring in
運営	operation; conduct; management; administration
運行	operation
運送	transport; transportation
運賃	tariff; freight; drayage; fare; haulage; portage
運転	operation; operation and driving; driving; run; working; running
運転士	driver
運転者	driver; operator
運転免許	driver license
運動会	athletic meet
運動靴	canvas shoes; play shoe; gym shoe; athletic shoes; sport shoes
運動系	moving frame; locomotor system; kinetic system; motor system
運動神経	motor neuron; motor nerve
運動部	motion part
運動量	impetus; quantity of motion; momentum; amount of exercise
運命共同体	community bound together by a common destiny
運用	operation; use; run
雲	cloud
雲の上	above the clouds; heaven
餌	bait; feed
餌食	prey
営み	human action、act、deed、human activity、sexual activity、sex activity、sexual practice、sex、activity、natural process
営ん	perform、deal、conduct、carry on
営業	operation; trade; business
営業中	open
影	reflection; silhouette; shadow
影響	effect; influence; impact
映っ	to be reflected; to harmonize with (harmonise); to come out (photo); to be projected; to be displayed (on a screen)
映画	motion picture; movie; cinematography; motion picture photography
映画会社	movie company
映画監督	movie director; director of photography
映像	picture; projected image; reflection; image; video; reflex
栄光	glory
栄養	nutrition; nutrient; nourishment; alimentation; feeding
栄養分	nutrient
永遠	timeless、dateless、lasting、permanent、unceasing、everlasting、perpetual、eonian、eternal、unending
永住権	right of permanent residence
泳がせ	to let someone swim; to let someone go free
英	England
英語	English
英語圏	Anglosphere
英語版	English version
英国	Britain; England; United Kingdom
英国放送協会	BBC; British Broadcasting Corp.
英文	English sentence; English
英米文学	English and American literature
英雄	great man; hero
衛星	satellite; secondary planet
衛生	sanitation; hygiene; health
液晶	liquid crystal; crystalline liquid
益子	Mashiko
駅	station
駅員	station employee
駅舎	station building; station
駅前	station front; station square
駅名	station name
越え	transit、pass across、move through、pass over、pass through、pass、go across、go through、transcend、top
越し	across; over; beyond; through; crossing
越後	Echigo
閲覧	reading; access to book
閲覧履歴	browsing history
円	yen; circle
円滑	smooth、liquid、smooth、fluent、fluid
円急騰	sudden rise of yen
円債	yen bond
円熟	maturity
円陣	circle
延ばさ	protract、draw out、extend、prolong、spin out、spin、stretch、elongate、delay、hold up
延び	stretch、develop、grow、unfold、stretch、extend、stretch out、spread out、diffuse、fan out
延期	adjournment; postponement
延長	extension; allongement; lengthening; elongation; prolongation; continuation
延長戦	extra inning
延長線	extended line
延坪島	Yeonpyeongdo
延命	prolonging life; apothanasia; life lengthening
援護	support
援助	assistance; assist; aid
沿い	along
沿っ	follow、accompany、play along
沿岸	littoral; seashore; littoral zone; coast
沿線	along railway line; wayside
演じ	act、play、toy、fiddle、diddle、play、perform、play、act、represent
演技	operation
演技力	acting ability; talent as a performer
演劇	play; drama
演者	lecturer
演習	practice; exercise; military exercise
演出	direction; production; rendering
演出家	director
演説	speech; address
演奏	musical performance
炎上	going up in flames
煙	smoke
縁	edge; brim; ora; bezel; flange; border; margo; limbus
縁の下の力持ち	unsung hero; person who does a thankless task
遠い	afar
遠回り	roundabout; detour
遠出	going afar
遠征	expedition
遠慮	reservation; modesty
塩味	salty taste; saltiness
塩澤	Shiozawa
汚れ	to be violated; to be corrupted; to be polluted; to be stained、to get dirty; to become dirty
汚職	bribery; scandal; corruption; graft; corrupt act
甥	nephew
奥	interior; back
奥さん	married woman、wife
奥山	deep mountain; Mt. Okusan
応え	answer、solution、answer、result、solvent、resolution、answer、reply、response、reply
応える	respond、react、respond、compensate、recompense、remunerate、pay back、repay、reward、live up to
応じ	live with、accept、swallow、respond、react、respond、answer、accept
応援	support; aid; cheering
応急	emergency
応募	application; subscription
応用	application
押さ	leaf、overwhelm、overmaster、overpower、press、bear down on、press down on、drag down、weigh down、bear down
押さえ	throttle、restrict、trammel、restrain、bound、limit、confine、curb、cut back、restrict
押さえ込み	suppress、curb、conquer、inhibit、stamp down、subdue、immobilize、trap、immobilise、pin
押しつぶさ	squelch、squash、mash、crush、squeeze
押し寄せ	heave、surge、billow
押し込め	lock up、put away、lock in、lock away、shut away、shut up、lock、jampack、jam、chock up
押し出し	extrude、push out; crowd out; squeeze out
押し上げる	boost、advance、boost、supercharge、boost up
押し付け	thrust、force、press、press、squeeze、throw、thrust、press、press out、press
押し戻さ	force back、push back、drive、beat back、repel、repulse
旺盛	vigorousness
横	breadth; side; width
横たわる	lie、lie down、span、cross、sweep、traverse
横ばい	flat
横顔	profile
横行	traverse motion
横山	Mt. Yokosan
横取り	lateral yarding
横書き	writing from left to right
横切っ	cross、hybridise、interbreed、hybridize、crossbreed、cross、traverse、pass over、track、get across
横断	crossing; intersection; traversing; transection; transect
横断歩道	cross‐walk; pedestrian crossing
横田	Yokota
横並び	line
横目	side glance
横領	embezzlement; graft
欧州	Europe
欧州車	European car
欧州連合	European Union
欧米	Europe and America
王	king
王者	champion
王手	check、checkmate
王道	royal road
王様ゲーム	?sama Game
黄海	Yellow Sea; the Yellow Sea
黄金時代	golden age
黄色	yellow、xanthous、yellowish、yellow
黄色い	yellow、xanthous、yellowish、high、high-pitched、sharp、shrill
岡っ引き	police detective、detective、investigator、tec
岡山	Okayama; Okayama prefecture; Okayama‐ken
岡田将生	Masaki Okada
岡本	Okamoto
沖	open sea
沖合	offshore
沖縄	Okinawa; Ryukyu Retto; Okinawa prefecture
沖縄タイムス	Okinawa Times
沖縄県	Okinawa prefecture
沖縄戦	Battle of Okinawa
沖縄大学	Okinawa Univ.
荻窪	Ogikubo、Tokyo
屋	dwelling、habitation、domicile、dwelling house、abode、home、house
屋久島	Yakushima Island
憶え	feel、con、memorize、memorise、learn、remember、think of、remember、find、feel
憶測	fantasy
臆面	shy face
牡鹿半島	Ojika Peninsula
牡蠣	oyster; Ostrea testa; Oyster shell
俺	I
恩	obligation; favor
温床	frame; hot bed; hotbed
温泉	thermal spring; hot spring; spa
温度	T; temperatura; heat; temperature
穏当	reasonable、sensible
音	sound; noise
音域	range
音楽	music; musical art
音楽活動	musical activities
音楽雑誌	Music magazine
音声	voice; sound
音声認識	speech recognition
音頭	leading a group of people; someone who leads others into a song by singing the leading notes
下	bottom
下がっ	lessen、fall、decrease、diminish、drop off、slip、drop away、fall away、drop、stand back
下がり	descent、drop、hand-me-down、decrease、lessening、drop-off、descent、diminution、decline
下げ	lour、lower、turn down、flatten、drop、lour、lower、hang、hang、hang
下さい	give、confer、bestow、endue、endow、invest、empower、gift、indue
下す	give、impose、visit、inflict、bring down、trounce、shell、beat、crush、beat out
下っ	go down、give up、surrender、stand back、put out、retire、withdraw、retire、descend、come down
下り坂	downgrade
下ネタ	blue joke、dirty joke、blue story、dirty story
下院議員	Representative
下回る	go below
下記	as follows; the following
下級官吏	lowly official; petty official
下支え	basic support; support; underpinning; underlying support; propping up
下旬	last eleven days of the month; later part of a month; late in a month; toward the end of month; last decade of a month; closing days of a month
下草	undergrowth
下村博文	Hakubun Shimomura
下着	under wear; underwear
下町	downtown area; downtown
下読み	preparation
下部	lower; lower part
下落	fall
化	action of making something; -ification
化し	change、grow、turn、turn、change state、turn、become
化学反応	chemical reaction
化繊	man‐made fiber
仮説	tentative theory; postulate; hypothesis
仮想	virtuality
仮想化	virtualization、Virtualization
仮題	provisional title
仮名	kana
仮名遣い	use of kana
何	what、anything
何気なく	nonchalant、insouciant、casual、casual、effortless、casual
何事	scandalousness
何度も	any number of times
伽	attendant、attender、tender
価格	price; cost
価値	value; worth
価値観	sense of values; feeling of value
価値体系	value system
価値判断	value judgement; value judgment
佳	beautiful、lovely
加え	increase、augment、add、blend in、mix in、add、add together、include、impose、visit
加わっ	to be added to; to be appended
加減	modification; decreasing
加工	elaboration; processing; machining; working; working and processing
加速	acceleration; accelerating
加担	align、array、assist、help、aid、assist
加藤	5743 Kato
加藤清史郎	Seishiro Kato
加入	subscription; admission; entry; recruitment
加筆	correction
加味	adding
加盟	affiliation; joining; join
加盟国	member country; member state
可哀想	pitiful、pitiable、pathetic、regretful、bad、sorry
可愛い	beautiful、lovely、pretty、endearing、lovely、adorable、beloved、darling、dear、nice
可決	passage
可視	visible
可視化	visualization
可笑しい	unusual、strange、curious、funny、queer、odd、rummy、rum、peculiar、singular
可能	able、up to、equal to、capable、adequate to、capable、possible、workable、practicable、feasible
可能性	feasibility; potency; potential; capacity; possibility; chance; likelihood
夏	summer
夏休み	Summer vacation
夏場	summer season
嫁	daughter‐in‐law; wife; bride
家	family; house
家屋	house
家計簿	domestic accounts book
家財道具	furniture and household goods
家事	domestic chores; household affairs; household cares
家族	family
家庭	home; household; family
家電	home electric appliances; household electric appliances
科	department; family; genus
科せ	impose、visit、inflict、bring down
科学	science
科学技術	technology; science and technology
暇	time; leisure
果たさ	carry out、put through、follow through、implement、follow out、go through、follow up、action、carry out、execute
果て	go、exit、perish、snuff it、cash in one's chips、give-up the ghost、conk、pass、decease、die
果てしない	boundless、unbounded、limitless、endless、eternal、interminable、unceasing、everlasting、perpetual、eonian
果敢	bold、resolute
果実	fruit
果物	fruit; edible fruit
歌	song
歌い	intonate、chant、intone、cantillate、chirr、sing、tweedle、chirp、sing、tweet
歌詞	words of song
歌手	singer; vocalist
歌声	singing voice
歌舞伎役者	a kabuki actor.
河	river
河原	river beach
河口	estuary; river mouth
河川	river
河川敷	riverbed
河北新報	Kahoku Shinp?
河野	Kouno
火	blaze; fire; flame
火の手	fire
火災	conflagration; blaze; fire
火山	volcano
火山活動	volcanicity; volcanism; volcanic activity
火事	fire
火傷	scald; burn
火薬	gunpowder; low explosive; powder; explosive
火曜日	Tuesday
稼い	buy time、pull in、make、take in、bring in、earn、gain、realise、realize、clear
稼ぎ	earnings; work; labor; income; pay; gainings
稼げる	to work; to earn income
稼働	work; operation
稼働率	net working rate; availability factor; working rate; operation rate; availability
箇所	position
花	bloom; flower arrangement; flower; blossom
花園大	Hanazono Coll.
花開く	to blossom; to flower; to bloom
花子とアン	Hanako to Anne
花束	bouquet
花壇	flower bed
花輪	wreathe
苛ま	torture、excruciate、torment、harry、molest、provoke、harass、chivy、chevvy、plague
荷物	burden; goods; luggage; cargo
華	flowers
菓子	cake; confection; confectionery
課	lesson; department; section
課せ	impose、visit、inflict、bring down、impose、levy、delegate、depute、designate、assign
課金	billing
課題	subject; theme; problem
課長	section chief
課程	course; process
過ぎ	past; after
過ぎ	transit、pass across、move through、pass over、pass through、pass、go across、go through、travel by、surpass
過ごし	put in、submit、make pass、pass、pass、spend、pass
過去	bygone; past
過激	strenuous、arduous、straining、uttermost、extreme、utmost、fierce、tearing、violent、vehement
過激派	radical
過言	exaggeration
過酷	unforgiving、unmerciful、merciless、harsh、rough
過小	too small
過小評価	underestimation
過剰	excess; supernumerariness
過剰反応	overresponse
過程	process; intention; period; stage
過渡	transition
過度	immoderate、unreasonable、excessive、inordinate、undue、exuberant、extravagant、excessive、overweening
過熱	overheat; superheating; overheating; superheat
過半	majority
過半数	majority、bulk、majority、absolute majority
過不足	deficiency and excess
過密	overcrowding; overpopulation
霞	fog、haze、mist
霞ヶ関	Kasumigaseki
我々	we
我が国	our country
我が身	myself; oneself
我慢	patience
我儘	obstinacy
画	intersection; image; intersectio
画一	undifferentiation
画期的	radical、revolutionary、epochal、epoch-making
画策	scheme
画素	pixel; picture element
画素数	pixel number; picture element number
画像	pictorial image; image; pictorial
画像処理	image data processing; image processing
画面	screen; image plane; faceplate; picture plane; scope; window
画面サイズ	screen size
芽生え	bourgeon、shoot、pullulate、sprout、spud、germinate、burgeon forth
雅人	man of taste
介し	mind
介する	mind
介護	care; nursing
介在	intercalation; intercalary; intervention; mediation
会	institute; association; meeting; party
会いたかった	Aitakatta
会え	see
会し	run into、meet、run across、come across、see、encounter、meet、get together、see、see
会っ	come across、come over、run into、meet、run across、come across、see、encounter、meet、get together
会員	member; membership
会議	meeting; conference; council
会議室	conference room; board room
会見	meeting
会合	aggregation; association; assembly; meeting; gathering
会誌	bulletin
会社	company; corporation; business organization
会社員	office worker
会社法	corporation law
会場	site; place
会談	consultation; conference; talk
会長	chairman
会報	proceeding
会話	speech; conversation; talk
解	explanation; notes; solution
解き放た	unlash、unhitch、let go、relinquish、release、let go of、liberate、release、unloose、unloosen
解す	loosen up、unwind、relax、make relaxed、unstrain、unlax、loose、loosen、savvy、grok
解する	savvy、grok、grasp、apprehend、dig、comprehend、get the picture、compass、understand、understand
解っ	savvy、grok、grasp、apprehend、dig、comprehend、get the picture、compass、understand、understand
解禁	lifting of ban
解決	fixing; settlement; resolution; decision; solution
解雇	layoff; dismissal; discharge
解散	dispersion; dissolution; disbandment
解釈	explanation; interpret; interpretation; construction
解釈改憲	effecting de facto constitutional changes through creative interpretation of the existing constitution; reinterpretation of the constitution
解除	rescission; removal; cancellation; dissolution; discharge; release
解消	cancellation; dissolution; resolution
解析	analysis
解説	commentary; description; explanation; interpretation; comment; expository comment
解説者	commentator、reviewer、expositor、expounder、commentator、observer
解体	disorganization; demolition; dissection; dissolution; disassembly; solution body; deterioration; overhaul; disintegration; solution; dismantling; dismantlement
解明	elucidation; solution; explication
解約	cancellation; cancellation of contract
回	gyrus; convolution
回さ	turn、sour、work、ferment、rotate、turn、rotate、circumvolve、turn
回っ	turn、sour、work、ferment、rotate、environ、surround、skirt、border、ring
回り	rotary motion、rotation、revolution、gyration、rotation
回顧	retrospection; recollection; retrospect; review
回収	harvest; recovery; salvage
回数	frequency
回戦	match; game
回線	circuit; line
回想シーン	flashback
回転	gyration; rotation; spin; rotation of tooth; convolution
回答	answer; reply
回避	prevention; avoidance
回復	protection; restoration; reintegration; retrieval; reactivation; recovery; recuperation; amelioration
回遊	two‐way migration; migration; recurrent migration
回遊性	migratory
回路	circuit
回廊	corridor
塊	mass; lump; bolus; block; massa
壊さ	break、break down、crush、put down、destroy、break、bust、ruin、destroy、violate
壊れ	go、break、give way、break down、give out、go bad、die、conk out、fail、break
壊滅	destruction
快挙	remarkable deed
快諾	willing consent
快調	smooth
快適	cozily、cosily
怪	closed book、mystery、secret、enigma、wonder、marvel
怪しい	uncertain、unsure、uncertain、incertain、dubious、doubtful、mysterious、secret、mystic、orphic
怪我	injury; wound
怪物くん	Kaibutsu-kun
懐かしい	lost、missed
戒律	precept; commandment
改ざん	falsification
改め	convert、modify、alter、change、turn、change state、change、right、correct、rectify
改革	reform; reorganization; reformation
改憲	constitutional amendment
改札	inspection of tickets; ticket gate; examination of tickets
改修	improvement and repair; improvement; repair
改正	amendment; revision
改正案	proposal for revision
改善	change for the better; minor improvement; MI; betterment; improvement; amelioration
改装	modification; re‐covering; remodeling; refurnishing
改造	retrofit; modification; remolding; rebuilding; remodeling; reorganization
改定	revision; reform
改変	alteration; modification; change; rearrangement; renovation; reformation
改良	refinement; betterment; improvement; amelioration
海	sea; ocean
海域	sea area
海外	overseas、abroad、oversea、overseas
海外市場	foreign market; overseas market
海外出張	overseas business trip
海外進出	overseas advance; starting operations overseas
海峡	strait; fretum; channel
海軍	Navy; navy
海上	marine; sea
